left	right
79393	18366
28669	81634
69632	34403
98634	20686
18838	9941
93556	23269
91155	75157
64961	60421
42325	42416
47834	59699
54409	97728
46152	67192
14580	40267
39145	16010
74208	11990
2515	551
89093	28912
89612	77841
93316	92647
51127	96917
2785	20763
46370	28332
55409	81688
63341	55223
61883	22379
4951	9300
41907	19798
37695	68872
31577	21953
89010	83833
95843	90310
21683	18037
6241	22489
81856	74130
46885	84954
3070	52120
1028	49364
70460	93440
90326	24174
43004	79452
33826	13310
53534	19322
58917	65280
95871	50249
40626	50407
16525	73676
5971	13625
47643	7270
89667	11574
17621	82306
1550	70151
98127	59283
26713	63436
64952	33515
31092	64293
57756	57837
38990	18086
9043	83496
84437	76812
13397	1656
37419	39906
86659	83425
55740	26494
92577	98274
92963	51700
14339	44799
60742	2035
90633	19559
5910	26483
90990	3883
41461	88328
43724	257
5535	2523
80184	66284
28148	60441
20382	32335
72553	19519
62246	25658
27669	52162
11052	52535
79832	93577
66666	88932
4845	25396
70888	23552
21252	89800
2258	99605
78706	68253
43182	76845
62622	25857
89260	19518
67122	15172
17861	18692
16723	413
97294	66191
40160	53776
11184	70032
76346	44495
79192	76838
12240	95937
13507	26812
1254	60345
75561	38212
14603	49532
29204	89962
63953	500
58033	11823
21639	14423
59185	75304
29637	11847
76119	45163
55236	62807
29272	9813
54891	4508
35225	51511
71951	58632
8333	12719
5538	5904
97172	32968
81981	15931
55247	2238
1243	61778
53203	37822
55401	64171
89625	40786
69353	24249
36632	11951
11207	21837
50396	2278
86031	23380
36949	61329
63542	66114
89086	97509
91852	80793
180	9744
89593	6403
26788	43186
68231	12020
39777	93730
31917	39490
32021	11753
58077	68943
24113	43872
83963	38401
27313	97933
5561	78635
76653	40633
97902	72267
86167	92578
37616	79177
32228	91973
63186	28021
72774	79217
30748	64320
60610	12639
23907	19231
5801	89944
61839	86793
81723	93086
30853	90875
48870	17664
44462	76070
21094	4951
31649	82481
48923	32616
52312	82856
6947	49171
27450	38438
51696	1152
30363	68152
78810	33665
49557	17630
92462	46050
17938	10253
56677	25972
74316	84779
58459	46196
97683	9529
44460	92447
67725	16012
34128	12173
98166	20696
46754	80592
1740	9346
59662	93342
22806	47158
47420	87442
91301	81028
79850	3569
55298	39152
96153	33272
22919	42845
32133	5346
67602	5350
68686	76266
94703	48419
42245	79523
69561	73729
14211	96856
18043	20120
43749	69120
63335	74850
58233	52423
18496	40197
62275	75626
17752	65563
85975	43545
1870	19709
48677	50313
61250	71715
64582	90695
2161	33198
44543	40692
59584	82334
62762	89218
57168	61741
22442	76781
72080	46154
77833	92268
66822	40506
77053	54698
93946	81715
7753	39834
1594	60244
81411	95635
5179	64666
68778	16242
39185	29813
7413	60422
99837	80098
22278	73359
51282	2182
62232	47077
93643	45506
7321	72286
70924	30588
62882	80405
85323	58262
84191	27744
16025	15333
74820	90452
54692	68137
37219	53914
31984	38386
89424	18495
85625	34103
17834	62864
54582	79207
5706	29966
88530	40074
34257	61968
27134	35091
16959	94502
68152	81234
1704	8077
45502	91398
92080	41891
63320	20976
76593	33616
77795	71541
84660	431
39706	37547
24470	12028
78670	74030
75570	75035
12592	44174
86397	75469
2393	10827
30464	84218
88529	802
42344	50947
90656	57443
37886	315
70179	52384
24847	98502
29172	24131
96829	96083
55944	23018
24243	4337
53791	10894
49888	87816
23953	51531
66673	25369
88974	1196
8578	63890
70780	78548
84065	68282
14904	89257
31870	18896
64398	4957
54202	50648
33360	51659
78834	21296
37024	52622
89973	18202
35115	30067
26476	52800
566	46565
87305	5589
80073	93771
19920	14807
79890	46613
63896	46096
55232	78359
74157	7036
76375	87185
4885	28338
38357	35079
48497	47747
52475	20730
60432	47217
97729	98951
40447	70771
89585	95044
25263	38715
27708	53600
95819	48126
51034	4255
74425	83175
17180	54625
97938	69007
63135	86122
55129	2409
77377	40033
66205	97409
12996	51466
44461	69388
91385	26539
50899	90259
74576	81104
114	13215
54912	84175
86778	73613
73700	49015
53726	66564
55516	46593
24534	11412
79607	47158
40266	43556
7735	82054
11858	83838
30680	97704
94025	11202
34988	9845
82757	66213
44668	12192
40355	66451
82560	51985
53768	71542
84337	48122
99811	62803
2262	67688
60893	13386
42333	36118
47242	35588
44348	10163
4477	65089
19477	15928
12136	49719
86323	2893
24573	28990
38047	59144
66928	12557
52846	55060
91823	72187
35058	89171
68358	47311
83430	42097
71842	35091
7385	59280
94141	47173
1791	1882
68896	92176
53355	43712
63062	84399
70621	30435
56334	50181
59290	13786
52804	42971
56905	15330
82846	32110
22017	78483
93874	37521
54786	44459
97141	12595
46343	4745
75214	46938
35568	47934
61078	92378
24930	86076
80721	35218
53546	17380
66642	5085
31195	10327
11853	92871
34444	25585
94932	80553
85685	60940
75215	19312
76025	30750
57707	78152
78680	78057
70896	93673
32661	52424
9234	71078
831	1783
33398	20361
66908	79676
82402	22993
79021	86264
84331	45514
16257	74397
47159	9880
63336	2753
40116	82197
83999	2308
99808	18390
78974	61407
90665	78152
59649	12734
116	89184
96625	12528
75858	1108
48865	42370
38589	53454
97337	21017
30488	72957
33750	83203
83035	84204
28125	92233
14715	46247
49698	6268
62925	11439
1848	88573
91295	85025
61208	50195
39682	11437
8509	81640
33620	57297
11207	47237
26052	85362
63268	43346
60468	63556
60028	39041
80783	92139
89084	64471
76892	35082
33	17417
39031	19546
76400	77020
40441	25889
42817	81112
52220	10010
85474	50707
10861	34801
40041	14436
42363	97618
36785	81969
56780	94679
60977	67079
86349	51497
85997	98142
83254	68156
888	67235
16416	87329
30588	80563
45912	12605
25002	58223
3275	29314
34950	60897
94065	33844
5255	33426
22231	57072
95207	1105
30298	36182
74398	12500
4481	53392
39945	92388
63386	64268
15985	56426
42950	40828
71971	38137
74334	98927
31188	23778
53239	76083
57004	78114
27765	10127
3457	3925
963	56414
6714	48412
60713	1450
89551	12974
520	96279
99322	86527
65316	69156
3757	59733
6158	58055
36982	89727
28900	38255
79442	77306
39917	52910
59844	14888
13219	71068
17266	81974
78205	77843
46062	17286
16089	59164
41455	83579
30817	37023
14147	2496
79434	62261
38718	92181
76062	29233
41516	1464
69990	35661
27385	54613
13983	16757
50892	56052
70661	50047
72738	90885
39795	83310
74319	69627
13121	77571
30194	64582
71375	92799
84556	16582
42775	3819
79994	71705
75028	30075
31834	44519
56045	86924
13901	67686
25339	59516
25337	54681
63317	16014
84175	50533
43696	69980
51836	77406
21899	95847
22823	20712
79523	46140
56812	4010
98050	35781
40637	47224
15274	30100
5286	69951
62666	18917
32405	60433
88248	54949
50093	7103
70206	11309
90738	32691
65862	97121
26796	72136
17906	92933
32805	96243
81784	49652
85735	17548
84855	76068
38957	57240
67409	99510
26074	91180
50497	5673
62091	92792
37707	84300
25351	86886
63734	3431
63933	39436
73107	33313
19982	71351
54269	5508
57691	51345
98577	38126
23205	95367
89596	60939
1115	73242
58554	76870
27979	16519
58872	19010
39479	95200
82829	12662
29955	31106
51467	85759
308	67248
95473	43279
9879	34502
1577	8184
8765	37016
75860	5171
51570	73033
42957	57234
36303	37357
12191	20227
94351	90334
68924	66527
15931	33707
27380	77747
12100	77640
16496	16972
40769	99964
24460	31231
34029	67241
37925	99239
64124	45450
87949	7109
28229	78842
54231	25350
82648	65001
93963	93900
65251	43445
79752	85866
3575	76667
34873	40916
73219	30695
56401	80245
38196	52518
7074	34561
79625	66242
19575	59506
70251	66753
19295	58333
56799	13376
93735	70774
27997	42358
53946	46451
12890	36828
14718	25325
13191	30084
66690	62717
1462	56335
5732	74597
60992	18977
93825	8890
98438	29011
90312	27323
33253	44020
62308	78115
86478	98256
73125	7248
89061	46420
2212	63529
8207	80360
25803	25772
9084	49933
34223	28513
58968	15780
14479	22693
7989	22253
17600	51564
1294	43468
69193	73937
55437	50038
83910	30746
97663	58646
92716	49886
56265	74854
91593	70885
85500	68368
16240	58895
52860	49638
40572	97865
82483	24789
14213	64641
28016	99016
15974	12822
73349	54373
22558	79317
3110	19104
86428	25338
69450	94463
32016	93332
15368	97369
94657	28257
97857	69428
62986	11970
82884	43816
25093	78564
65795	68504
11017	27433
79743	6601
58725	69605
80403	85987
47496	58710
71479	13706
96719	11530
8031	59637
50441	30651
54648	11434
20138	25491
53264	34526
81649	63462
32492	22322
74961	20477
20748	35666
51918	87133
36493	84656
24484	61003
31964	49910
77512	98571
28266	25881
25126	74408
87068	15469
48896	2830
22595	48614
28066	33325
92751	74281
72239	21847
85056	60495
40729	2248
87038	42009
69654	2292
70330	11220
74469	59767
2746	42349
34067	78886
34615	14296
76039	98096
80888	27583
13004	87505
28266	41249
69036	614
40627	97909
61651	22609
33225	5911
15645	36368
90497	74740
72017	57633
24297	88252
51338	97852
74061	1547
70250	38490
62663	61424
91736	89431
34445	60039
2383	39717
16501	47436
19260	97599
544	20060
50580	23711
60244	10762
68447	92379
35867	53141
22399	80403
867	41745
95262	83893
16754	14080
31248	40071
45891	99010
91688	91670
92708	69392
30537	79242
1137	74410
58749	41646
89917	6139
39138	20679
70326	70096
10780	3534
12436	95154
35421	51392
82416	14381
5458	7643
39931	69948
61719	40072
94741	74517
34214	19614
61069	69081
11975	25084
45197	32043
1185	4933
39280	39708
32815	51603
32129	76252
43731	64080
58556	95504
61933	20088
33243	11173
77311	38478
4388	12862
58450	29687
42054	59807
95074	28181
59682	72828
25126	54086
82956	81795
54675	74587
48623	38529
16099	72427
46116	75000
57381	55765
49	83653
59858	2058
36574	81958
67967	14294
96567	56482
77844	60263
69600	12206
50499	97669
11311	78392
18366	4716
83667	14767
83250	5239
81298	48438
68916	83856
53732	89037
96254	86126
16800	87147
59626	98976
99258	79733
19719	94673
23059	22432
12309	214
40335	18562
40329	45560
72383	22708
32323	51481
99561	86412
83195	36029
54654	24824
59523	2286
68987	45228
25828	43744
572	13568
30084	94310
58069	68492
90593	56682
12302	10531
35919	19116
77994	86113
87525	37072
56993	10406
89432	10782
63916	71582
3275	44401
30776	20851
60146	42671
56350	6153
31937	24597
14061	50526
88616	25516
81158	85360
54149	78582
6967	99723
82993	86644
81850	37252
84910	75509
16196	50645
68519	16840
36717	919
41057	83861
25329	81488
55754	59131
22336	4433
42316	42487
72894	71579
50087	25957
21596	64177
40336	29064
58035	15820
59342	77258
39303	95050
62691	17032
51796	76995
38693	37420
89744	52827
1589	13201
98399	33620
66116	56225
90999	40865
65613	10160
4733	98421
22360	59657
95758	35873
68689	7356
43617	14725
13182	88456
60797	47930
83401	26018
48952	16758
75442	4554
76378	23208
80128	41231
841	40078
57584	42563
39551	34640
44204	74896
64162	13046
69175	73103
9549	67958
12600	12266
99268	41193
48524	51178
9460	46398
30563	48416
81638	59625
32728	8002
87716	99357
58530	69217
17970	66730
6588	98236
46456	86142
47441	63273
26166	23918
98802	5155
86206	95969
41210	25114
47513	73218
77448	77109
17551	66355
97888	57203
79909	22441
91923	47958
23330	73887
35160	69767
88665	93434
6037	76822
15728	59846
24517	58884
10015	46782
73694	33199
7207	55785
6107	30320
29840	4111
5889	56832
91606	11255
47668	87976
49742	82125
77627	92065
78335	77708
94629	51098
28090	35403
85925	35276
48748	59496
17022	51979
6433	86011
69193	23119
88837	54001
57513	34511
19028	54608
63985	23651
20424	24554
17066	27555
76585	57243
87016	48014
84623	28532
63092	24995
89785	41745
79396	34471
42503	59924
86543	48767
60382	51925
42544	97047
50846	37778
78305	63878
59776	46938
11981	37896
10435	73851
81793	42709
35367	39080
82229	95781
76125	73511
54371	91371
33540	19993
74946	23250
1868	45877
81901	77255
45021	78357
96189	38757
43293	48483
91857	70437
29243	97016
58892	15713
60582	36408
98896	37778
45801	23751
1752	71165
739	77230
50781	74043
45921	7145
35378	36457
31122	29480
79534	96396
48523	15146
79720	68789
60266	23795
24127	37034
65236	49655
60405	64069
62481	50838
3361	92086
80944	90237
19528	37020
52422	6966
62997	41811
9684	92055
76050	76616
48713	95455
92606	12255
42503	89035
16084	65616
97598	74284
28861	2184
80839	63840
80071	64941
70990	61771
86713	236
79386	33207
59231	2058
53115	75510
82964	86657
31156	67889
92443	38297
92726	13925
39617	8641
92835	81628
36944	89952
58150	73172
46244	3025
12379	29616
88829	41215
18893	25014
43551	68433
52020	78272
8242	72172
73917	34891
33408	9882
49375	47742
61782	72432
31069	65696
48054	41820
46468	24266
26997	23693
27086	4913
89174	31400
15894	22800
95232	68876
91778	72404
48554	82195
52156	96395
53194	35517
58362	96013
82015	6943
55582	97256
63011	25625
82749	73755
33294	75466
1839	44115
79128	66310
63141	76177
41401	81624
73242	59375
38647	30208
44728	77800
931	11457
65192	89894
19231	28604
20207	32108
25236	18412
93483	36687
69693	77462
25627	48755
17622	70913
92233	74639
29384	18370
65645	63773
24899	70982
53867	57709
21676	5088
64702	38536
76552	3507
481	31609
89176	53214
22329	63646
27681	16044
41788	52998
59893	98229
30719	60850
72591	69914
84425	57137
49148	90412
56919	50724
15421	39779
17378	19740
37070	13423
43903	16047
4669	1023
94595	32597
22881	70026
31789	76185
25220	19476
41399	87435
95104	18570
14555	64774
73002	69450
68373	1190
831	43788
8836	45690
81913	55676
75382	28420
10335	59416
59353	52253
15351	36974
153	64366
40618	34733
41048	49805
7228	54968
30838	19930
65954	82437
70016	60535
67019	88830
96075	4203
68812	14911
19285	63283
5519	84814
94103	1328
33493	21837
44245	96564
80614	58226
12483	32276
84877	45139
59997	18673
14910	8092
84624	46944
83617	34381
45442	36041
74930	78603
30726	99498
19070	88658
17834	31947
94232	9710
7890	63054
50541	95870
75889	87426
55613	49757
72724	86426
98210	72276
96395	6826
91090	87644
54440	74855
63929	11866
71473	95509
70528	88616
56056	66492
98320	40172
30251	2798
57135	1950
88268	24921
8856	18400
40813	76973
46121	72803
15268	61505
97074	38341
87943	58159
70287	60580
40743	49348
27953	42017
12996	37704
34700	90088
89078	22630
16886	21479
84740	5514
76908	60032
45144	78521
40161	59611
90636	68244
94816	60561
34868	11872
88771	67257
3090	2788
82947	63033
70011	66255
55791	45092
88355	40746
30616	56664
7475	34845
34968	73931
54084	29310
79234	64857
46578	83252
11316	75321
94917	59675
5514	45755
79137	2893
52543	13624
23077	62274
70015	59774
54366	68519
54629	15442
7302	53976
4036	77000
32900	27173
77213	76060
86253	35730
14280	89976
66837	91785
8049	36573
48365	85575
52231	34242
55896	214
80007	98642
69047	55214
23076	94824
83392	49293
27164	78589
1257	96200
24880	64438
49467	48344
23151	62965
45115	60271
27000	80970
11032	66996
40731	13096
20795	62914
32578	49242
67994	7210
11726	75738
73406	34174
41237	98092
252	92839
34890	42856
28176	26842
76094	18029
66550	5235
44175	92284
1613	54132
87476	32563
42651	65254
58858	79471
3064	5123
52597	40697
15036	62215
69615	83467
52219	34965
57697	45132
31213	2354
43839	20270
5326	58582
15147	65829
67859	25291
69284	88303
93188	72625
34837	91669
42063	15877
11302	53449
85414	27056
44691	16353
84289	96260
43497	64171
84846	35303
42277	13567
90512	10776
36124	87622
89654	144
71120	76445
47765	14517
35566	25679
99586	50741
16182	92176
84684	87277
20884	28715
64760	47276
39311	83802
47524	62338
26617	26026
26974	53076
52640	64393
39650	91974
46283	58259
72756	67473
16369	88320
43433	58638
94757	12532
3565	48987
92539	75870
43227	45026
9934	37852
99719	77214
22222	60041
15233	64938
85303	87385
49616	31384
13127	57438
1104	84696
7101	96837
15351	95757
50253	9712
23759	44697
32017	55678
53806	8155
57274	60605
90657	1254
85250	28368
23230	19650
22327	30139
36929	12044
76953	45244
41101	14965
74396	88036
169	31635
28966	17239
13374	80357
42666	69286
45044	16381
97762	98395
99628	12751
50450	16020
34083	40583
36321	23606
96795	29883
60668	88405
14462	71994
38332	26461
90041	43497
30387	63540
14809	79759
65814	61471
84745	73528
6364	46024
66072	71788
37088	86118
33678	44997
99191	6170
98614	9755
19689	5986
31343	39835
62064	1130
71886	5936
84392	75295
90349	54674
65446	16949
82281	35386
93014	25536
33140	47122
29920	77649
59308	82320
36899	85638
68469	88476
81280	31991
87422	1848
98560	34210
15858	95012
32613	52395
81756	54227
27882	69077
78423	49053
70279	15343
81553	12953
82454	13317
8271	32952
28420	13220
49770	39329
84452	23692
76412	54328
51383	53102
39871	91793
15057	43399
43410	60120
90927	92931
76028	8267
55632	30623
14163	23413
61033	24246
43209	37075
96728	98594
99832	41786
71215	16496
6333	65252
70074	53562
43188	14837
25705	46313
21289	24264
18513	56033
64077	77326
5633	76811
71579	81914
82486	66834
62773	46746
70373	14420
49841	88397
70632	29760
274	32794
92582	97705
4167	10285
16232	34371
51991	99083
80371	47214
43035	47752
16910	32859
66953	32034
97341	31842
59923	36281
18131	31929
26546	10453
98582	74298
50057	45756
42532	45510
32151	86512
27569	54687
6406	30111
17839	3218
8017	94668
47429	28385
45474	40633
40510	39180
53757	30253
61448	7801
96131	13713
48497	83678
2410	86095
33031	80379
46328	35848
55589	19516
30038	58857
22132	83345
53338	49688
70747	86093
54198	21203
55513	88949
46213	80199
83772	86684
5984	55332
5987	9953
86491	76000
19252	98475
4673	71595
58510	34589
86212	29416
50314	45847
70583	82332
27063	23604
420	9834
91097	35687
92521	41831
49501	67446
19044	20261
93343	76729
48716	17402
94111	44088
59694	13537
91767	51340
18623	64343
61288	60241
80858	70665
45705	34834
91093	73886
18094	99023
5167	77021
81143	81537
19461	13981
40103	75005
78970	15317
71826	81044
37675	38882
99994	79206
6924	83712
48388	24113
24147	76132
92553	82234
28580	32883
78185	75118
18301	19792
43479	39931
87579	80511
62195	98459
2047	90176
33486	65484
55457	35872
3776	93488
14432	42836
10423	99880
63602	4297
29791	41535
68472	97137
79877	26090
9859	70527
59540	51869
63222	61769
5465	23294
16176	51755
72963	60046
92372	20692
8278	88093
27930	52750
73731	17725
89952	10558
4972	74285
51873	20594
17545	49113
26231	38950
87475	67349
45475	1887
55292	89261
35710	5193
29883	9839
47459	53228
53141	29486
71407	63555
32716	70314
87059	47272
14636	1236
19031	43929
59197	44060
8393	38552
78034	67229
27366	28716
694	91592
21790	58476
43809	67171
48339	93811
19799	1238
94875	11163
47149	11591
35350	44005
82874	62169
38972	75002
35403	31399
29478	88259
25104	74987
52500	5285
14049	64424
84019	94484
81041	12638
65060	24395
78617	88337
44288	46366
64524	45503
3132	59831
65118	56593
31752	635
62054	67262
3905	52112
56965	52075
56043	43946
65444	67691
72591	84606
15995	57452
86345	1153
21094	2060
77975	13644
56658	26802
5472	3377
23093	25733
41700	2214
76812	8295
71107	84881
84241	19709
6053	95222
37835	13180
27309	22625
97075	58490
81603	56220
23636	32168
21831	58498
12416	33486
70150	91737
97969	42643
77247	17403
90060	61877
29237	59677
28818	85506
54936	61648
40539	91894
84165	3688
36321	16459
83711	93676
31088	80936
66695	92754
73157	29920
68988	483
93372	99274
6783	89475
70530	68935
24180	971
46944	1809
54848	42947
84284	46930
76275	27722
75371	55814
88065	81287
74731	298
10561	85873
73173	18477
49529	66684
40598	35081
90520	47008
489	14900
88108	9971
8827	98974
67226	64487
34090	4632
42806	67796
41863	91930
92113	72393
47873	49250
95126	945
69542	3912
28986	16753
61795	83714
82348	81827
4797	99038
57497	606
5309	74645
34290	60428
37832	721
79163	7331
44024	36813
67755	46505
71619	84263
80535	32724
17565	59783
54552	80992
18706	12626
47495	82350
25823	19102
35892	3437
87791	58214
30474	62309
63758	45272
1315	32057
8433	59028
53715	31693
70872	49894
27043	22479
19573	6470
29829	51517
96882	20217
65979	44607
48025	98345
11854	8300
40334	45760
35807	29992
55388	1577
84465	61667
57155	62121
39682	52711
81850	16427
57682	53007
29331	51412
23386	57982
66888	45840
48588	40915
51111	41546
81911	91969
80700	35750
69163	79434
51276	394
4094	94412
37024	91767
27087	13887
71099	76142
76846	70844
2281	14473
19958	5735
52384	81050
50924	59725
91767	75703
9732	80994
98494	71233
21377	34933
19360	19088
19267	48841
16433	8383
16760	91280
28599	55347
23837	59818
33184	39986
34726	53940
1245	81251
76339	17891
74927	81721
97260	5406
40232	43955
30161	56957
78809	76903
77795	9124
2798	4205
57103	74818
71718	4263
90103	58116
20117	62133
74600	27283
31940	7165
60371	62878
52412	49418
95249	88615
98697	89580
59765	75065
66130	27714
42046	59250
98895	37894
78702	52994
20113	23929
41090	75359
38770	42351
77043	6259
61724	8220
17759	78992
16725	15367
59594	20340
23095	53137
80109	4972
16174	27034
9017	89069
7430	6047
71282	9911
97767	88379
33386	79618
55670	29744
16698	50753
49687	69429
17750	3065
81076	91398
57091	10696
91841	56660
14608	13863
9271	52601
86411	88765
58421	5535
63054	29639
38736	82991
65351	27731
69829	35693
61425	77689
47695	52607
79179	59479
42004	36016
10737	7068
41894	18704
70678	32976
49166	67860
67598	17164
6357	13770
60056	43416
28553	38055
50011	52582
14170	46918
73779	51291
24149	41677
37581	12244
2080	66432
95033	65153
19953	75247
31140	96898
90347	49383
79332	29687
29464	51193
28135	90179
27524	37855
34947	19415
29723	53498
90591	85823
24088	30457
72990	44901
73390	87877
74547	25470
28652	61469
99761	69793
68970	22757
99215	24714
70686	134
27465	9101
78990	83058
91671	57809
46038	70010
68073	71169
30112	43405
81139	8181
73609	272
51611	91662
55452	74662
67039	11783
68119	96614
60856	26889
89210	69462
52400	54396
64635	85138
90543	7767
56230	35704
78607	46640
9267	59947
76587	30555
32368	33936
59999	66886
93476	89486
72426	24476
74470	30335
42896	56213
70588	26273
28173	39683
68643	32701
3985	50533
96896	40437
55800	34093
8088	49086
37983	65814
60597	67700
90696	35041
98855	51653
74736	42933
50750	37313
22234	30252
64099	83359
82332	86415
33241	34594
66423	49352
76497	66934
60800	35033
10984	94540
20039	16908
7444	81353
87439	22039
59518	84264
72902	57214
34936	67689
94716	79676
35269	48514
28057	50384
24283	60341
83664	56375
58938	29661
76865	84310
11105	43436
83343	26967
89142	72758
73540	87787
15146	80935
80812	11344
67232	90257
79147	66191
44442	62379
48454	54001
53127	71193
29097	56157
35291	42717
88265	48790
56099	44105
76691	97111
51099	47712
45204	61020
85121	86059
92946	85155
90943	48328
18740	28486
22474	29924
82497	47868
43642	12970
59641	49356
58607	21790
6533	22543
79406	46887
30384	5949
43628	9260
39805	20646
59449	6213
81306	35372
56582	66412
34690	43292
87684	11198
61469	1858
69686	14277
23861	74822
88029	31024
46337	59770
75371	26148
64583	78101
51289	69359
39706	55295
94234	14593
93770	85062
64731	49709
32302	39089
52155	88840
34979	85607
40476	78256
1615	40410
81626	35995
8297	32543
76157	55617
84847	5994
26557	81197
57584	95770
80806	60555
88962	99718
42919	4948
45042	65275
24841	91379
28673	77102
33242	23021
75909	94251
96719	14558
25032	88086
18621	2209
25017	44214
87960	41565
20569	32942
23347	89450
36295	96601
414	96431
85577	15261
20517	14749
85777	58717
28746	92655
57576	3942
3785	82096
81098	25378
18198	4557
93690	79574
34095	48775
98246	94993
75147	22432
61501	11476
10502	70711
50088	15062
10465	30680
4853	29464
30265	19565
15009	23565
5760	82974
17383	46723
77168	48855
38655	45488
76314	75681
21158	42782
78104	49243
64780	8522
2734	64420
69807	90395
70856	45986
8788	56078
47774	25588
90957	40061
82889	98004
93026	1457
35099	87811
37463	57371
7205	45515
1899	48441
1634	21495
56171	2518
67831	12069
58247	84999
44289	3107
91913	66623
15830	36396
37365	95394
6403	99564
59739	56139
65137	55022
96493	15634
25564	17182
8786	4721
3652	61520
24964	75592
18960	21982
4170	75839
32387	49684
55847	1246
70839	59746
27223	28007
34566	23689
94142	30335
59089	11622
44778	33854
17210	76769
13992	11429
81325	31711
80107	89167
98818	18181
18913	88793
39274	45583
34625	78374
38043	56124
75305	98126
56981	31417
65738	19002
42683	5511
38883	72386
19523	17340
81485	32696
44088	72084
97199	43233
39223	61873
55309	84952
77739	26026
30725	10762
49681	98303
53115	68777
10493	10005
24496	9459
59107	67146
77852	19514
48157	97756
89813	3320
60571	31207
60730	13760
89021	92229
4257	1119
43221	89011
69881	60027
11906	66749
32114	92099
94344	49065
76882	64558
3361	86677
5125	23155
15303	23715
67422	66433
54221	29746
42171	45095
91508	95627
41662	68650
88544	70834
25783	56785
35235	71056
7932	60630
89881	96364
54582	38522
59789	92651
13633	53903
79454	63043
67663	64475
5108	75187
50496	85565
79817	26389
88535	35314
43258	71577
73895	19825
14214	6057
78031	19097
43381	62096
23220	50548
27460	72802
20227	16456
47424	24019
36206	72176
61655	12861
54867	46676
63388	14341
69579	45987
44504	57437
74166	16104
99285	92022
48462	93718
